frame_number,timestamp,rep_count,state,angle,pose_detected
366,2025-11-02 18:52:23.471,4,down,101.01,True
367,2025-11-02 18:52:23.518,4,down,110.23,True
368,2025-11-02 18:52:23.570,4,down,116.71,True
369,2025-11-02 18:52:23.618,4,down,121.46,True
370,2025-11-02 18:52:23.671,4,down,129.32,True
371,2025-11-02 18:52:23.719,4,down,132.66,True
372,2025-11-02 18:52:23.771,4,down,134.97,True
373,2025-11-02 18:52:23.822,4,down,140.40,True
374,2025-11-02 18:52:23.870,4,down,144.61,True
375,2025-11-02 18:52:23.924,4,down,147.37,True
376,2025-11-02 18:52:23.973,4,down,149.52,True
377,2025-11-02 18:52:24.024,4,down,151.50,True
378,2025-11-02 18:52:24.072,4,down,152.22,True
379,2025-11-02 18:52:24.122,4,down,154.90,True
380,2025-11-02 18:52:24.175,4,down,157.02,True
381,2025-11-02 18:52:24.222,4,down,158.64,True
382,2025-11-02 18:52:24.274,4,up,160.17,True
383,2025-11-02 18:52:24.323,4,up,161.03,True
384,2025-11-02 18:52:24.374,4,up,160.73,True
385,2025-11-02 18:52:24.427,4,up,159.54,True
386,2025-11-02 18:52:24.476,4,up,157.96,True
387,2025-11-02 18:52:24.529,4,up,155.53,True
388,2025-11-02 18:52:24.575,4,up,147.02,True
389,2025-11-02 18:52:24.629,4,up,136.63,True
390,2025-11-02 18:52:24.675,4,up,122.98,True
391,2025-11-02 18:52:24.727,4,up,105.98,True
392,2025-11-02 18:52:24.780,4,up,96.00,True
393,2025-11-02 18:52:24.827,4,up,82.96,True
394,2025-11-02 18:52:24.879,4,up,70.41,True
395,2025-11-02 18:52:24.927,5,down,60.22,True
396,2025-11-02 18:52:24.978,5,down,51.22,True
397,2025-11-02 18:52:25.031,5,down,44.93,True
398,2025-11-02 18:52:25.079,5,down,39.83,True
399,2025-11-02 18:52:25.131,5,down,34.89,True
400,2025-11-02 18:52:25.178,5,down,30.94,True
401,2025-11-02 18:52:25.230,5,down,30.30,True
402,2025-11-02 18:52:25.279,5,down,32.12,True
403,2025-11-02 18:52:25.333,5,down,36.12,True
404,2025-11-02 18:52:25.382,5,down,41.29,True
405,2025-11-02 18:52:25.430,5,down,50.01,True
406,2025-11-02 18:52:25.482,5,down,67.77,True
407,2025-11-02 18:52:25.530,5,down,90.49,True
408,2025-11-02 18:52:25.583,5,down,103.62,True
409,2025-11-02 18:52:25.631,5,down,117.60,True
410,2025-11-02 18:52:25.683,5,down,130.73,True
411,2025-11-02 18:52:25.736,5,down,135.57,True
412,2025-11-02 18:52:25.784,5,down,136.97,True
413,2025-11-02 18:52:25.834,5,down,145.45,True
414,2025-11-02 18:52:25.883,5,down,148.14,True
415,2025-11-02 18:52:25.936,5,down,150.61,True
416,2025-11-02 18:52:25.987,5,down,153.49,True
417,2025-11-02 18:52:26.036,5,down,156.84,True
418,2025-11-02 18:52:26.087,5,down,159.00,True
419,2025-11-02 18:52:26.135,5,up,161.23,True
420,2025-11-02 18:52:26.186,5,up,161.36,True
421,2025-11-02 18:52:26.240,5,up,162.56,True
422,2025-11-02 18:52:26.290,5,up,163.01,True
423,2025-11-02 18:52:26.341,5,up,162.09,True
424,2025-11-02 18:52:26.390,5,up,160.75,True
425,2025-11-02 18:52:26.441,5,up,159.25,True
426,2025-11-02 18:52:26.488,5,up,158.01,True
427,2025-11-02 18:52:26.541,5,up,153.25,True
428,2025-11-02 18:52:26.594,5,up,145.60,True
429,2025-11-02 18:52:26.640,5,up,138.98,True
430,2025-11-02 18:52:26.692,5,up,129.00,True
431,2025-11-02 18:52:26.741,5,up,123.72,True
432,2025-11-02 18:52:26.793,5,up,105.15,True
433,2025-11-02 18:52:26.840,5,up,95.62,True
434,2025-11-02 18:52:26.892,5,up,82.05,True
435,2025-11-02 18:52:26.945,6,down,67.77,True
436,2025-11-02 18:52:26.992,6,down,59.44,True
